,C1.Soil,C2.Soil,C3.Soil,R1.Soil,R2.Soil,R3.Soil
C1.Soil,0.0,0.5761602344894968,0.9768329706698633,0.8728780445447836,0.9310225002171836,0.8633410005750431
C2.Soil,0.5761602344894968,0.0,0.9809093730269987,0.9457908644771612,0.9598731245594603,0.5785861677215923
C3.Soil,0.9768329706698633,0.9809093730269987,0.0,0.9835323396256387,0.9593809164449034,0.9512898442684056
R1.Soil,0.8728780445447836,0.9457908644771612,0.9835323396256387,0.0,0.8807352064903515,0.9839660595420964
R2.Soil,0.9310225002171836,0.9598731245594603,0.9593809164449034,0.8807352064903515,0.0,0.9710874400093644
R3.Soil,0.8633410005750431,0.5785861677215923,0.9512898442684056,0.9839660595420964,0.9710874400093644,0.0
