sample,treatment,environment
C1.In,Control,Gut
C1.Soil,Control,Soil
C2.In,Control,Gut
C2.Soil,Control,Soil
C3.In,Control,Gut
C3.Soil,Control,Soil
C4.In,Control,Gut
C5.In,Control,Gut
C6.In,Control,Gut
C7.In,Control,Gut
C8.In,Control,Gut
R1.In,Roundup,Gut
R1.Soil,Roundup,Soil
R2.In,Roundup,Gut
R2.Soil,Roundup,Soil
R3.In,Roundup,Gut
R3.Soil,Roundup,Soil
R4.In,Roundup,Gut
R5.In,Roundup,Gut
R6.In,Roundup,Gut
R7.In,Roundup,Gut
R8.In,Roundup,Gut
