,NMDS1,NMDS2,NMDS3
C1.In,0.40416299559266716,0.46923817985965083,-0.15516194733288688
C1.Soil,-0.5303230513876116,-0.19474168056399613,0.14061690279910996
C2.In,0.23199638093275593,-0.5222044431530173,0.02171979915658022
C2.Soil,-0.37387626680252894,-0.20693529919253795,0.39206782448070715
C3.In,0.08350456464603309,-0.3097945330709279,0.440426363575029
C3.Soil,-0.010894112836444739,0.5792111653787994,-0.4472717848597044
C4.In,-0.50045898714367,-0.021886261706835632,-0.17857092404735825
C5.In,0.22089380982871265,0.10624964777076061,-0.42210826469295415
C6.In,0.14454125625307135,-0.3766460178583412,-0.45678052599047625
C7.In,-0.1898963126202368,0.5836252840368117,0.20002315902686726
C8.In,0.5588928811479842,0.10324169277279296,0.029868299580284086
R1.In,-0.1813965483827211,0.17416508849767742,-0.41574240656837985
R1.Soil,-0.4615980387655605,0.4363432224784153,-0.030047389664725494
R2.In,-0.11765176829427813,-0.11663205539607069,-0.5647672696014967
R2.Soil,0.17686930268560902,0.28790444870453397,0.5476662842101709
R3.In,0.4676155295208857,-0.289903841741345,0.12939207124330768
R3.Soil,-0.4031614497272177,0.14075318192721212,0.5306329289965039
R4.In,0.43579746987341694,-0.26197045660872703,-0.3343969132123908
R5.In,-0.39633446793597676,-0.3476852626376413,-0.11946369415498954
R6.In,0.2724511728604115,0.32982608258651963,0.1945746287242084
R7.In,0.37331285909679235,-0.05926853772707203,0.4558797666468647
R8.In,-0.20444721854209397,-0.5028896043566615,0.0414430916857285
