Genus
g__028H05-P-BN-P5
g__67-14
g__Acanthopleuribacter
g__Acinetobacter
g__Actinomyces
g__Actinomycetaceae
g__Aestuariicella
g__Afipia
g__Agarivorans
g__Agromyces
g__Ahrensia
g__Akkermansia
g__Alcanivorax
g__Alicyclobacillus
g__Aliikangiella
g__Aliivibrio
g__Alloprevotella
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
g__Antarctobacter
g__Aquimixticola
g__Arenicella
g__Atopobium
g__B1-7BS
g__BD1-7_clade
g__Babeliaceae
g__Babeliales
g__Bacteriovorax
g__Bacteroides
g__Balneola
g__Bdellovibrio
g__Bermanella
g__Bifidobacterium
g__Brachybacterium
g__Bradyrhizobium
g__Brevibacterium
g__Brevundimonas
g__Brochothrix
g__Burkholderia-Caballeronia-Paraburkholderia
g__Caldithrix
g__Campylobacter
g__Candidatus_Berkiella
g__Candidatus_Fritschea
g__Candidatus_Kaiserbacteria
g__Candidatus_Obscuribacter
g__Candidatus_Rhabdochlamydia
g__Candidatus_Solibacter
g__Candidatus_Uhrbacteria
g__Capnocytophaga
g__Catellicoccus
g__Cerasicoccus
g__Chroococcidiopsis_SAG_2023
g__Chthonobacter
g__Cloacibacterium
g__Clostridium_sensu_stricto_1
g__Cohaesibacter
g__Colwellia
g__Conexibacter
g__Corynebacterium
g__Coxiella
g__Crocinitomix
g__Cutibacterium
g__Cytophaga
g__DEV007
g__Desulfobacter
g__Desulfopila
g__Desulfovibrio
g__Dokdonia
g__Dyadobacter
g__Edaphobaculum
g__Ekhidna
g__Ellin6067
g__Erythrobacter
g__Escherichia-Shigella
g__Exiguobacterium
g__Fastidiosipila
g__Fermentibacteraceae
g__Finegoldia
g__Fusibacter
g__Fusobacterium
g__Gaiella
g__Glaciecola
g__Gracilibacteria
g__Haliea
g__Halioglobus
g__Halioxenophilus
g__Halobacteriaceae
g__Halococcus
g__Halolamina
g__Halomonas
g__Helicobacter
g__Hirschia
g__Hoeflea
g__Hymenobacter
g__Hyphomonas
g__IMCC26134
g__IMCC26256
g__JG30-KF-CM45
g__JG36-TzT-191
g__Jatrophihabitans
g__KD4-96
g__KI89A_clade
g__Ketobacter
g__Kocuria
g__Kordiimonas
g__Labrenzia
g__Lactococcus
g__Lautropia
g__Lawsonella
g__Leucobacter
g__Leuconostoc
g__Lewinella
g__Limimaricola
g__Limnobacter
g__Luteimonas
g__Magnetospira
g__Marinomonas
g__Maritalea
g__Marmoricola
g__Massilia
g__Meiothermus
g__Mesorhizobium
g__Methylobacterium-Methylorubrum
g__Methylophilus
g__Mf105b01
g__Micrococcus
g__Microvirga
g__Moheibacter
g__Moritella
g__Mucilaginibacter
g__Muribaculaceae
g__Mycobacterium
g__NRL2
g__NS11-12_marine_group
g__NS9_marine_group
g__Nakamurella
g__Neptuniibacter
g__Nisaea
g__Nocardioides
g__OM182_clade
g__OM190
g__OM60(NOR5)_clade
g__OM75_clade
g__Oceanibulbus
g__Oceaniserpentilla
g__Oleiphilus
g__Oricola
g__Paenibacillus
g__Paracoccus
g__Paraglaciecola
g__Paraperlucidibaca
g__Parvularcula
g__Pedobacter
g__Pedomicrobium
g__Pedosphaeraceae
g__Peptococcus
g__Peptoniphilus
g__Peredibacter
g__Phenylobacterium
g__Phyllobacterium
g__Pir4_lineage
g__Polynucleobacter
g__Ponticaulis
g__Porphyrobacter
g__Porphyromonas
g__Prevotella
g__Prevotella_7
g__Pseudarcobacter
g__Pseudoalteromonas
g__Pseudolabrys
g__Pseudomonas
g__Pseudonocardia
g__Pseudopelagicola
g__Ralstonia
g__Reichenbachiella
g__Rheinheimera
g__Rhodanobacter
g__Rhodopirellula
g__Rhodopseudomonas
g__Roseibacillus
g__Roseivirga
g__Roseomonas
g__Rothia
g__Rubidimonas
g__Rubinisphaera
g__Rubricoccus
g__Rubritalea
g__SM1A02
g__SWB02
g__Saccharopolyspora
g__Schekmanbacteria
g__Sediminispirochaeta
g__Shewanella
g__Sneathiella
g__Solirubrobacter
g__Sphingobium
g__Sphingomonas
g__Sphingopyxis
g__Sphingorhabdus
g__Spongiibacter
g__Staphylococcus
g__Stenotrophomonas
g__Streptococcus
g__Succinivibrio
g__TM7a
g__Tepidibacter
g__Tepidicella
g__Tepidisphaera
g__Terasakiella
g__Terrimonas
g__Thalassobaculum
g__Thalassotalea
g__Turicella
g__UASB-TL25
g__Unknown_Family
g__VHS-B4-70
g__Varibaculum
g__Veillonella
g__Vibrio
g__Vicingus
g__Zhongshania
g__uncultured
